,Tranception_no_retrieval,Tranception_retrieval,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,number_mutants,UniProt_ID,Neff_L_category,Taxon
DLG4_HUMAN_Faure_2021,0.5801787669504238,0.6668526807724589,0.6017378000757602,0.6142523612857769,0.5501922679573157,0.6077015417990775,0.6503516708211207,6976,DLG4_HUMAN,low,Human
DLG4_RAT_McLaughlin_2012,0.30715585043902294,0.44331650676438283,0.48847489809044614,0.49578862067253276,0.556987282368234,0.5877511851101971,0.4435994031948022,1576,DLG4_RAT,low,Eukaryote
DYR_ECOLI_Thompson_plusLon_2019,0.347038343418156,0.42266681569667014,0.48715474525564084,0.48951879580084845,0.41638717915564427,0.436003156942476,0.4845982837196183,2363,DYR_ECOLI,medium,Prokaryote
ENV_HV1B9_DuenasDecamp_2016,0.40354587458401275,0.4074188782624282,0.3800931220864542,0.37535926116570395,0.4154322170311097,0.388698392716384,0.38769237041863636,375,ENV_HV1B9,medium,Virus
ENV_HV1BR_Haddox_2016,0.35807861333123897,0.36247798293281547,0.3427861246868258,0.3450898115065554,0.3204754746148335,0.33602304412138023,0.3366374700415189,12863,ENV_HV1BR,medium,Virus
ESTA_BACSU_Nutschel_2020,0.2611404418174219,0.325977682452917,0.43508945233736335,0.43117659070373554,0.3048457606909149,0.3353861482791598,0.3196327566348461,2172,ESTA_BACSU,high,Prokaryote
F7YBW8_MESOW_Aakre_2015,0.4333778012187482,0.42455967053390564,0.3752220623163354,0.413454979825588,0.3820982483524174,0.3932780136218895,0.39060249337741954,9192,F7YBW8_MESOW,high,Prokaryote
GAL4_YEAST_Kitzman_2015,0.3247673790549509,0.5568621287857088,0.6016139786926117,0.5798165401737045,0.45753536519679117,0.4615375806466341,0.5074288949647418,1195,GAL4_YEAST,medium,Eukaryote
GCN4_YEAST_Staller_induction_2018,0.2652275001476736,0.2782057969226117,0.24875718803927105,0.24987477337993183,0.2718972702996613,0.28391125437193004,0.1863439019315886,2638,GCN4_YEAST,low,Eukaryote
GFP_AEQVI_Sarkisyan_2016,0.6286003071029661,0.6723509302533923,0.6480511024651535,0.6568958812669718,0.09812659567651419,0.10253685517222545,0.5979765165779573,51714,GFP_AEQVI,low,Eukaryote
GRB2_HUMAN_Faure_2021,0.4040472678645503,0.43646949974947075,0.4709842745871847,0.4858372192405829,0.4549660042315839,0.5150474265551408,0.5344602145523519,63366,GRB2_HUMAN,medium,Human
HIS7_YEAST_Pokusaeva_2019,0.5849471939373103,0.6162685037184096,0.5080486187675533,0.5063692505367712,0.41098083105026645,0.4766548479263675,0.4539200423424209,496137,HIS7_YEAST,medium,Eukaryote
HSP82_YEAST_Flynn_2019,0.32206131651769754,0.3457085259310294,0.3463093131933842,0.34116962478576907,0.35065914211584276,0.37474784395992056,0.33817167253603264,13194,HSP82_YEAST,medium,Eukaryote
HSP82_YEAST_Mishra_2016,0.5051896399922955,0.5281486957245877,0.4721788353587132,0.480281663252131,0.5469359071297645,0.5561408447858713,0.48481451824844146,4323,HSP82_YEAST,medium,Eukaryote
I6TAH8_I68A0_Doud_2015,0.33679093956967987,0.34792537155614767,0.3032898646910066,0.3241829206132658,0.01790852477393205,0.013582320869301388,0.2120250493043396,9462,I6TAH8_I68A0,medium,Virus
IF1_ECOLI_Kelsic_2016,0.5270381572144557,0.4950746898464415,0.2342252643230275,0.2547616737015394,0.5404849425833025,0.5653162520391484,0.48983619023515235,1367,IF1_ECOLI,high,Prokaryote
KCNH2_HUMAN_Kozek_2020,0.5106727668191706,0.53788794719868,0.3558793969849247,0.3300562514062852,0.2442481062026551,0.2716072901822546,0.38150753768844226,200,KCNH2_HUMAN,medium,Human
KKA2_KLEPN_Melnikov_2014,0.5857130599537619,0.5880441755990005,0.5693475822470343,0.5940117076095951,0.5968073562065505,0.6209723208378429,0.49809320935077817,4960,KKA2_KLEPN,high,Prokaryote
MK01_HUMAN_Brenan_2016,0.00361763100542131,0.09327352962069432,0.1443013859811841,0.13915597074609948,0.16668738108935696,0.18183015159829105,0.1837337007381242,6809,MK01_HUMAN,medium,Human
MSH2_HUMAN_Jia_2020,0.28123102187522475,0.34568083025845886,0.38989930020831143,0.39522585882067884,0.38016217138316927,0.40017776459728177,0.3642536034714926,16749,MSH2_HUMAN,medium,Human
MTH3_HAEAE_Rockah-Shmuel_2015,0.6654526440022728,0.6383319922482336,0.6710012495666721,0.6801141334061318,0.6916322365870121,0.7075193536460489,0.6584973071795239,1777,MTH3_HAEAE,medium,Prokaryote
NCAP_I34A1_Doud_2015,0.41537608228963263,0.4244667637123004,0.33824280242716814,0.35827819965327135,0.01895554696128465,0.020386018267695583,0.2690084001771786,9462,NCAP_I34A1,medium,Virus
NRAM_I33A0_Jiang_standard_2016,0.5513143601850925,0.621219489909306,0.51923490703765,0.6281397168470411,0.16249473704974143,0.44833171562088986,0.3426301351600447,298,NRAM_I33A0,low,Virus
NUD15_HUMAN_Suiter_2020,0.5749486700880705,0.6042078838307203,0.6425309662877986,0.6713263359613639,0.5996883687360783,0.644551388754549,0.5014849322167017,2844,NUD15_HUMAN,high,Human
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,0.35480704739439445,0.39952922515356465,0.30685859345624855,0.309427327906343,0.4573821227638717,0.5085689376295879,0.11611412310015638,7467,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,0.3597906727020962,0.3791109930941654,0.3035226982035643,0.3076531029141817,0.4471908325193816,0.49800700053496505,0.12567214894616985,7467,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_WT_Nutlin_2018,0.4075088983850217,0.4333621879062526,0.2989556375437452,0.29290893422290226,0.49640116739768997,0.5541636217472734,0.027979657015867004,7467,P53_HUMAN,low,Human
P53_HUMAN_Kotler_2018,0.4204437410599849,0.5643987807060543,0.58223171885304,0.5789855658861587,0.5375454623115204,0.6217926951330809,0.4324675264288538,1048,P53_HUMAN,low,Human
P84126_THETH_Chan_2017,0.5357207727414364,0.5466796668844903,0.6370470181054588,0.6358612610141389,0.5515594845367785,0.5881644038778983,0.6182589594618432,1519,P84126_THETH,medium,Prokaryote
PA_I34A1_Wu_2015,0.5406352623780308,0.5719783345617796,0.38266906747236107,0.3036652499387494,0.054015715611517814,0.1009806760727779,0.3254371015219779,1820,PA_I34A1,medium,Virus
PABP_YEAST_Melamed_2013,0.6400138509268668,0.6877581844818834,0.6615793707061975,0.6551970120087558,0.6623560380505239,0.6781299584889331,0.5407896240818878,37708,PABP_YEAST,medium,Eukaryote
POLG_CXB3N_Mattenberger_2021,0.3552342048917947,0.41319455015119994,0.4855733918744415,0.5003863150931477,-0.05868974812460635,0.041615271859791095,0.3556425665151435,15711,POLG_CXB3N,medium,Virus
POLG_HCVJF_Qi_2014,0.5216593480284428,0.5783555999412591,0.608460185283354,0.5912637443906652,0.6153595995477682,0.6539771738975267,0.2604804115513952,1630,POLG_HCVJF,medium,Virus
PTEN_HUMAN_Matreyek_2021,0.3430553917949493,0.412412911201585,0.42705684078782347,0.4323946566553047,0.4087443080943136,0.45421471224430576,0.47682782954855074,5083,PTEN_HUMAN,medium,Human
PTEN_HUMAN_Mighell_2018,0.2991482404262252,0.41816414465979773,0.4833345941610136,0.4571757466601069,0.46886303823444214,0.49911701349183757,0.5135629472051272,7260,PTEN_HUMAN,medium,Human
Q2N0S5_9HIV1_Haddox_2018,0.4056121026276141,0.5006724533468742,0.5036176506620791,0.5135306485973333,0.509192490105771,0.5369511741454374,0.40289298889866526,12729,Q2N0S5_9HIV1,medium,Virus
Q59976_STRSQ_Romero_2015,0.6342499601122409,0.6567561518193284,0.6847502005992213,0.6550837706546145,0.519059350059691,0.5425402662295932,0.6492337001633263,2999,Q59976_STRSQ,medium,Prokaryote
R1AB_SARS2_Flynn_growth_2022,0.21560355135161982,0.40074065743894266,-0.03680562024886352,-0.03680562024886352,-0.029932352560461836,-0.04041862761046292,0.2661647432418134,5725,R1AB_SARS2,medium,Virus
RASH_HUMAN_Bandaru_2017,0.3767632855269375,0.4498989409266184,0.40764340824915357,0.4134122531517314,0.35954557290124084,0.4048917494608702,0.5141382144908273,3134,RASH_HUMAN,high,Human
REV_HV1H2_Fernandes_2016,0.240418888864696,0.23647057607810174,0.24578973730981568,0.25077369824568146,0.24532764624107728,0.26703762987443697,0.1698869224192012,2147,REV_HV1H2,medium,Virus
RL401_YEAST_Mavor_2016,0.36779506196913386,0.3975499319500174,0.37642340883968123,0.389453120796979,0.2854549045404261,0.3149679109489109,0.42983775878632785,1253,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2013,0.42749500570961896,0.4492659488371175,0.44267123529937513,0.41613074397891703,0.3065919007443988,0.36679664115908467,0.48766697004986875,1195,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2014,0.35103183642759195,0.40814462588528166,0.3696552537846187,0.37665376891584446,0.2397751046735571,0.2672664892087261,0.3936255365923158,1380,RL401_YEAST,medium,Eukaryote
SC6A4_HUMAN_Young_2021,0.49134196190326823,0.5301777271000988,0.5518530750496805,0.5683326289020743,0.5306818389585203,0.5423028413117644,0.5546300134636306,11576,SC6A4_HUMAN,medium,Human
SCN5A_HUMAN_Glazer_2019,0.06878643852927903,0.08636394939474307,0.15220834630403873,0.13468902497524285,0.16466838103646694,0.12792676019565125,0.12610793678805132,224,SCN5A_HUMAN,medium,Human
SPG1_STRSG_Olson_2014,0.27932686970337006,0.288799647209392,0.14248081313203304,0.24461822503679917,0.23749498350295634,0.1923475853136257,0.2780920515001967,536962,SPG1_STRSG,low,Prokaryote
SPIKE_SARS2_Starr_bind_2020,0.35485581787654186,0.3171886121567639,0.4160650727510756,0.414146039089033,-0.06379734939238191,-0.038514939947412376,0.33662231219392125,3802,SPIKE_SARS2,medium,Virus
SPIKE_SARS2_Starr_expr_2020,0.3830565078053267,0.36694704343437434,0.5265295629885209,0.5568773668949981,-0.022853895632538635,0.004453859890429115,0.35513211639832826,3798,SPIKE_SARS2,medium,Virus
SRC_HUMAN_Ahler_CD_2019,0.34815937902929617,0.4923317828889187,0.2584571894654762,0.36987252719399744,0.5610392248676833,0.5849950694609461,0.48441488271159916,3372,SRC_HUMAN,medium,Human
SUMO1_HUMAN_Weile_2017,0.3285133935421878,0.4095918087331721,0.462195269231011,0.49434710286791667,0.4674158425823188,0.5104563134084535,0.5165962023638395,1700,SUMO1_HUMAN,high,Human
SYUA_HUMAN_Newberry_2020,0.18096015659143258,0.1592134047338299,0.10027774383642339,0.15158396548729078,0.24191187381993332,0.23287980296439487,0.22032932559657906,2497,SYUA_HUMAN,medium,Human
TADBP_HUMAN_Bolognesi_2019,0.1214773194723981,0.12116788823692971,0.05765995571343942,0.04064585555350852,0.05140567235106839,0.04777441567843987,-0.0753154278483884,1196,TADBP_HUMAN,low,Human
TAT_HV1BR_Fernandes_2016,0.202794543829227,0.23724545105633496,0.3030289827006105,0.32805592168217573,0.3427931384235715,0.34236747479348106,0.20280075512740828,1577,TAT_HV1BR,high,Virus
TPK1_HUMAN_Weile_2017,0.3007530015322318,0.3048475055985162,0.24520873353615985,0.2761556014456937,0.2701523826849606,0.31811693183312534,0.24877920207785945,3181,TPK1_HUMAN,medium,Human
TPMT_HUMAN_Matreyek_2018,0.41116812039036627,0.47833348113630747,0.4713280507276885,0.47593122415976996,0.5168052135122859,0.5470008265606892,0.5111939904787166,3648,TPMT_HUMAN,medium,Human
TPOR_HUMAN_Bridgford_S505N_2020,0.41915634623774684,0.4511607826957317,0.5038506168933904,0.48186999029643124,0.36770677868321966,0.37030325317154117,0.3619802297603083,562,TPOR_HUMAN,low,Human
TRPC_SACS2_Chan_2017,0.5578645561353603,0.5914803903462444,0.6348630818283987,0.6595921865490203,0.6108746045176358,0.6432283052359858,0.5917859004654267,1519,TRPC_SACS2,medium,Prokaryote
TRPC_THEMA_Chan_2017,0.44798877676311244,0.4375297576184421,0.4788987454048129,0.47667589940275434,0.4780938554384777,0.5063221236989095,0.42991993160169395,1519,TRPC_THEMA,medium,Prokaryote
UBC9_HUMAN_Weile_2017,0.42843474983469104,0.47487026158836165,0.49550156349410246,0.5187854105060284,0.4768456554046046,0.509463761066258,0.5570178800496662,2563,UBC9_HUMAN,medium,Human
UBE4B_MOUSE_Starita_2013,0.2622050081680469,0.3897112040029682,0.34417606766599146,0.36419710259710736,0.4474083925273989,0.4710611474621057,0.3827865700929767,899,UBE4B_MOUSE,low,Eukaryote
VKOR1_HUMAN_Chiasson_abundance_2020,0.5050510450226365,0.5478075442789875,0.4754579325041593,0.5076915974354208,0.4473355387492686,0.47377963679140705,0.46365319159843466,2695,VKOR1_HUMAN,medium,Human
VKOR1_HUMAN_Chiasson_activity_2020,0.36964182238074983,0.40075513214205405,0.4165312976472651,0.41704681448616504,0.42731203711739935,0.448067025375865,0.41478038677917356,697,VKOR1_HUMAN,medium,Human
YAP1_HUMAN_Araya_2012,0.21703172930396236,0.3585787112771597,0.0696595735799917,0.05322289367362686,0.2804222135884373,0.28491946276583396,0.188731672285239,10075,YAP1_HUMAN,low,Human
Average,0.4040842899830989,0.4519166195646594,0.42673591998290916,0.43975244722813145,0.3823094943284629,0.4130444919590483,0.3983005144843263,18648.6091954023,,,
