DMS_id,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
AMIE_PSEAE_Wrenbeck_2017,0.3512124451,0.3512124451,,,,,0.3602055399,0.3602055399,,,,,0.5085916045,0.5085916045,,,,,0.4963866901,0.4963866901,,,,,0.3936084636,0.3936084636,,,,,6227,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.4220532319,0.4220532319,,,,,0.3885931559,0.3885931559,,,,,0.4362484157,0.4362484157,,,,,0.3936628644,0.3936628644,,,,,0.3809885932,0.3809885932,,,,,7890,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.2614093158,0.2614093158,,,,,0.3590875288,0.3590875288,,,,,0.4359490734,0.4359490734,,,,,0.3935150956,0.3935150956,,,,,0.3654926575,0.3654926575,,,,,4996,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.3230194062,0.3230194062,,,,,0.4618447816,0.4618447816,,,,,0.5831079107,0.5831079107,,,,,0.5304211718,0.5304211718,,,,,0.5228944949,0.5228944949,,,,,4783,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.3812129629,0.3812129629,,,,,0.498513349,0.498513349,,,,,0.5470514398,0.5470514398,,,,,0.5227823944,0.5227823944,,,,,0.5146927126,0.5146927126,,,,,989,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.3258606886,0.3258606886,,,,,0.4651721377,0.4651721377,,,,,0.5924739792,0.5924739792,,,,,0.5492393915,0.5492393915,,,,,0.5284227382,0.5284227382,,,,,4996,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.3710693724,0.3710693724,,,,,0.4357637158,0.4357637158,,,,,0.4258107399,0.4258107399,,,,,0.2989102971,0.2989102971,,,,,0.2367041977,0.2367041977,,,,,1837,BRCA1_HUMAN,low,Human
C6KNH7_9INFA_Lee_2018,0.299237493,0.299237493,,,,,0.3182071787,0.3182071787,,,,,0.3044448577,0.3044448577,,,,,0.3200669518,0.3200669518,,,,,0.2453040729,0.2453040729,,,,,10754,C6KNH7_9INFA,medium,Virus
CALM1_HUMAN_Weile_2017,0.2697184761,0.2697184761,,,,,0.2255927043,0.2255927043,,,,,0.1770543553,0.1770543553,,,,,0.1902920868,0.1902920868,,,,,0.1880857982,0.1880857982,,,,,1813,CALM1_HUMAN,high,Human
CAPSD_AAV2S_Sinai_2021_substitutions,0.3595752478,0.06005062365,0.296450308,0.358882305,0.3749410754,0.3946557346,0.3184430156,0.05458536145,0.2624342194,0.3680825315,0.3759599264,0.349795257,0.1895620214,0,0.05936169718,0.3034809804,0.2955389544,0.214086644,0.1458767541,0.06805144927,0.09048522592,0.1180955364,0.1201031206,0.1729261612,0.1633697724,0,0,0.1594085933,0.3000465395,0.146104006,42329,CAPSD_AAV2S,low,Virus
CCDB_ECOLI_Adkar_2012,0.253401727,0.253401727,,,,,0.3656467873,0.3656467873,,,,,0.3384358636,0.3384358636,,,,,0.304422209,0.304422209,,,,,0.392857711,0.392857711,,,,,1176,CCDB_ECOLI,high,Prokaryote
CCDB_ECOLI_Tripathi_2016,0.3324006287,0.3324006287,,,,,0.4173222678,0.4173222678,,,,,0.3475652071,0.3475652071,,,,,0.3566639542,0.3566639542,,,,,0.4112564365,0.4112564365,,,,,1663,CCDB_ECOLI,high,Prokaryote
CP2C9_HUMAN_Amorosi_2021_abundance,0.4208386021,0.4208386021,,,,,0.4630168913,0.4630168913,,,,,0.4151728618,0.4151728618,,,,,0.4523149373,0.4523149373,,,,,0.4825322192,0.4825322192,,,,,6354,CP2C9_HUMAN,high,Human
CP2C9_HUMAN_Amorosi_2021_activity,0.425594269,0.425594269,,,,,0.4842070987,0.4842070987,,,,,0.4366655812,0.4366655812,,,,,0.4789970694,0.4789970694,,,,,0.4952784109,0.4952784109,,,,,6142,CP2C9_HUMAN,high,Human
DLG4_HUMAN_Faure_2021,0.4810779817,0.2339992508,0.4831688927,,,,0.5762614679,0.2821960594,0.5983975315,,,,0.4925458716,0.1767818287,0.5031792262,,,,0.4587155963,0.09650259022,0.4652780995,,,,0.5361238532,0.3316879616,0.541667123,,,,6976,DLG4_HUMAN,low,Human
DLG4_RAT_McLaughlin_2012,0.2523892506,0.2523892506,,,,,0.37098179,0.37098179,,,,,0.3922676304,0.3922676304,,,,,0.4530843173,0.4530843173,,,,,0.3496959496,0.3496959496,,,,,1576,DLG4_RAT,low,Eukaryote
DYR_ECOLI_Thompson_2019_plusLon,0.3118431753,0.3118431753,,,,,0.3725014098,0.3725014098,,,,,0.4055877195,0.4055877195,,,,,0.3412532284,0.3412532284,,,,,0.4074258479,0.4074258479,,,,,2363,DYR_ECOLI,medium,Prokaryote
ENV_HV1B9_DuenasDecamp_2016,0.3095529878,0.3095529878,,,,,0.3447899716,0.3447899716,,,,,0.3330443104,0.3330443104,,,,,0.3800269555,0.3800269555,,,,,0.2978073265,0.2978073265,,,,,375,ENV_HV1B9,medium,Virus
ENV_HV1BR_Haddox_2016,0.2704734051,0.2704734051,,,,,0.2742051535,0.2742051535,,,,,0.2670526357,0.2670526357,,,,,0.2406194177,0.2406194177,,,,,0.2505707469,0.2505707469,,,,,12863,ENV_HV1BR,medium,Virus
ESTA_BACSU_Nutschel_2020,0.2016616478,0.2016616478,,,,,0.2384948255,0.2384948255,,,,,0.3324194286,0.3324194286,,,,,0.2182365777,0.2182365777,,,,,0.2311281899,0.2311281899,,,,,2172,ESTA_BACSU,high,Prokaryote
F7YBW8_MESOW_Aakre_2015,0.2441253264,0,0.09309299246,0.1752342118,0.07409296294,,0.2519582245,0,0.1373089801,0.2340060922,0.08222910504,,0.2310704961,0,0.3094100191,0.2243656756,0.07763725063,,0.22845953,0,0.1421113034,0.2172334307,0.08425333357,,0.225413403,0,0.4477060744,0.2486035728,0.06741358513,,9192,F7YBW8_MESOW,high,Prokaryote
GAL4_YEAST_Kitzman_2015,0.196922736,0.196922736,,,,,0.375109329,0.375109329,,,,,0.4260197841,0.4260197841,,,,,0.3351082571,0.3351082571,,,,,0.3460176404,0.3460176404,,,,,1195,GAL4_YEAST,medium,Eukaryote
GCN4_YEAST_Staller_2018_induction,0.2312357847,0,0,0.1728119109,0.1654097627,0.188102565,0.2282031842,0,0,0.1728119109,0.1635217168,0.1847760041,0.1811978772,0,0,0.1312007706,0.1008473852,0.127365318,0.2115238817,0,0.1456928794,0.1763188418,0.1415830647,0.1715072031,0.1660348749,0,0,0,0.0630093891,0.1102370637,2638,GCN4_YEAST,low,Eukaryote
GFP_AEQVI_Sarkisyan_2016,0.5730566432,0.05865742563,0.2468661176,0.3348304694,0.3492792796,0.2868119404,0.6179038727,0.1003782685,0.2782439415,0.4254733298,0.4369836342,0.3186256026,0.5843468548,0,0,0.3755048981,0.3643032104,0.2253563821,0.09682924537,0.03099977825,0.02171096601,0.02005999179,0.007715865981,0.02511578651,0.5367554768,0,0.03224517432,0.231453444,0.2389698453,0.09227791291,51714,GFP_AEQVI,low,Eukaryote
GRB2_HUMAN_Faure_2021,0.3098176346,0.235881986,0.3041693061,,,,0.3307176356,0.258608767,0.3253809512,,,,0.3480347794,0.1639644398,0.3431882111,,,,0.3366227153,0.1962888163,0.3314616691,,,,0.4071519252,0.2767943987,0.4032698583,,,,63366,GRB2_HUMAN,medium,Human
HIS7_YEAST_Pokusaeva_2019,0.4751925246,0,0.3496627259,0.4348659457,0.5134606397,0.4674519299,0.5107364819,0.4020903464,0.4456344873,0.524113562,0.5652353487,0.5022879014,0.4021565277,0.4020903464,0.4382533132,0.439463834,0.3829028888,0.3934588127,0.3326834707,0.4020903464,0.3078008256,0.3165563552,0.2887038472,0.3247883401,0.3416890791,0,0.2847767743,0.3398431338,0.3721512012,0.3289619314,496137,HIS7_YEAST,medium,Eukaryote
HSP82_YEAST_Flynn_2019,0.2750407621,0.2750407621,,,,,0.2886168143,0.2886168143,,,,,0.2926393483,0.2926393483,,,,,0.2936449818,0.2936449818,,,,,0.2896224478,0.2896224478,,,,,13194,HSP82_YEAST,medium,Eukaryote
HSP82_YEAST_Mishra_2016,0.3862027976,0.3862027976,,,,,0.4096026826,0.4096026826,,,,,0.3812765061,0.3812765061,,,,,0.4108342555,0.4108342555,,,,,0.3763502145,0.3763502145,,,,,4323,HSP82_YEAST,medium,Eukaryote
I6TAH8_I68A0_Doud_2015,0.2470936377,0.2470936377,,,,,0.2559712534,0.2559712534,,,,,0.210314944,0.210314944,,,,,0.01458465441,0.01458465441,,,,,0.1511308391,0.1511308391,,,,,9462,I6TAH8_I68A0,medium,Virus
IF1_ECOLI_Kelsic_2016,0.3984917137,0.3984917137,,,,,0.3602827959,0.3602827959,,,,,0.1437655952,0.1437655952,,,,,0.4303324785,0.4303324785,,,,,0.4175961726,0.4175961726,,,,,1367,IF1_ECOLI,high,Prokaryote
KCNH2_HUMAN_Kozek_2020,0.36,0.36,,,,,0.4,0.4,,,,,0.3,0.3,,,,,0.18,0.18,,,,,0.36,0.36,,,,,200,KCNH2_HUMAN,medium,Human
KKA2_KLEPN_Melnikov_2014,0.4949089948,0.4949089948,,,,,0.4873338571,0.4873338571,,,,,0.4688168539,0.4688168539,,,,,0.4881755391,0.4881755391,,,,,0.3939071591,0.3939071591,,,,,4960,KKA2_KLEPN,high,Prokaryote
MK01_HUMAN_Brenan_2016,0.05419295948,0.05419295948,,,,,0.1246878942,0.1246878942,,,,,0.1387868811,0.1387868811,,,,,0.1564106148,0.1564106148,,,,,0.1716845173,0.1716845173,,,,,6809,MK01_HUMAN,medium,Human
MSH2_HUMAN_Jia_2020,0.2773398578,0.2773398578,,,,,0.3261969771,0.3261969771,,,,,0.3409917386,0.3409917386,,,,,0.3279172982,0.3279172982,,,,,0.3347985826,0.3347985826,,,,,16749,MSH2_HUMAN,medium,Human
MTH3_HAEAE_Rockah-Shmuel_2015,0.4267479797,0.4267479797,,,,,0.4189949015,0.4189949015,,,,,0.4396697766,0.4396697766,,,,,0.455175933,0.455175933,,,,,0.4293323391,0.4293323391,,,,,1777,MTH3_HAEAE,medium,Prokaryote
NCAP_I34A1_Doud_2015,0.2952864088,0.2952864088,,,,,0.3206510252,0.3206510252,,,,,0.2432889453,0.2432889453,,,,,0.02599873177,0.02599873177,,,,,0.21454238,0.21454238,,,,,9462,NCAP_I34A1,medium,Virus
NRAM_I33A0_Jiang_2016_standard,0.3959731544,0.3959731544,,,,,0.5436241611,0.5436241611,,,,,0.3825503356,0.3825503356,,,,,0.1140939597,0.1140939597,,,,,0.3020134228,0.3020134228,,,,,298,NRAM_I33A0,low,Virus
NUD15_HUMAN_Suiter_2020,0.4544710047,0.4544710047,,,,,0.4559659752,0.4559659752,,,,,0.5112798803,0.5112798803,,,,,0.4724106497,0.4724106497,,,,,0.3931772179,0.3931772179,,,,,2844,NUD15_HUMAN,high,Human
P53_HUMAN_Giacomelli_2018_NULL_Etoposide,0.3601285953,0.3601285953,,,,,0.4244676584,0.4244676584,,,,,0.3520862124,0.3520862124,,,,,0.4151879858,0.4151879858,,,,,0.1572130884,0.1572130884,,,,,7467,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_2018_NULL_Nutlin,0.2583594172,0.2583594172,,,,,0.3001472423,0.3001472423,,,,,0.2294293845,0.2294293845,,,,,0.338184878,0.338184878,,,,,0.09120811688,0.09120811688,,,,,7467,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.3735180675,0.3735180675,,,,,0.4175347406,0.4175347406,,,,,0.3329401969,0.3329401969,,,,,0.4092816144,0.4092816144,,,,,0.1396794914,0.1396794914,,,,,7467,P53_HUMAN,low,Human
P53_HUMAN_Kotler_2018,0.3437269059,0.3437269059,,,,,0.464128421,0.464128421,,,,,0.4990836996,0.4990836996,,,,,0.4718962607,0.4718962607,,,,,0.3592625853,0.3592625853,,,,,1048,P53_HUMAN,low,Human
P84126_THETH_Chan_2017,0.4705947818,0.4705947818,,,,,0.5155959818,0.5155959818,,,,,0.5500086641,0.5500086641,,,,,0.4891246877,0.4891246877,,,,,0.52353737,0.52353737,,,,,1519,P84126_THETH,medium,Prokaryote
PABP_YEAST_Melamed_2013,0.5032046801,0.4986372664,0.5012633112,,,,0.5507710543,0.541220974,0.5492879003,,,,0.5095111064,0.5223279479,0.507180083,,,,0.5137793769,0.4877326555,0.5123554003,,,,0.4075103866,0.4310886911,0.4042347523,,,,37708,PABP_YEAST,medium,Eukaryote
PA_I34A1_Wu_2015,0.3956043956,0.3956043956,,,,,0.4351648352,0.4351648352,,,,,0.2747252747,0.2747252747,,,,,0.03956043956,0.03956043956,,,,,0.2483516484,0.2483516484,,,,,1820,PA_I34A1,medium,Virus
POLG_CXB3N_Mattenberger_2021,0.2481700689,0.2481700689,,,,,0.3105467479,0.3105467479,,,,,0.3635032754,0.3635032754,,,,,-0.0357074703,-0.0357074703,,,,,0.2591178125,0.2591178125,,,,,15711,POLG_CXB3N,medium,Virus
POLG_HCVJF_Qi_2014,0.3855626466,0.3855626466,,,,,0.4152213117,0.4152213117,,,,,0.4893679745,0.4893679745,,,,,0.4819533083,0.4819533083,,,,,0.1581795473,0.1581795473,,,,,1630,POLG_HCVJF,medium,Virus
PTEN_HUMAN_Matreyek_2021,0.2716899961,0.2716899961,,,,,0.3141845876,0.3141845876,,,,,0.3173323351,0.3173323351,,,,,0.3102499032,0.3102499032,,,,,0.3480228733,0.3480228733,,,,,5083,PTEN_HUMAN,medium,Human
PTEN_HUMAN_Mighell_2018,0.2574771729,0.2574771729,,,,,0.3681389126,0.3681389126,,,,,0.4064932656,0.4064932656,,,,,0.393289308,0.393289308,,,,,0.4171821836,0.4171821836,,,,,7260,PTEN_HUMAN,medium,Human
Q2N0S5_9HIV1_Haddox_2018,0.2954330416,0.2954330416,,,,,0.3791444198,0.3791444198,,,,,0.3951943457,0.3951943457,,,,,0.3914178926,0.3914178926,,,,,0.3029859479,0.3029859479,,,,,12729,Q2N0S5_9HIV1,medium,Virus
Q59976_STRSQ_Romero_2015,0.5009042425,0.5009042425,,,,,0.5276250817,0.5276250817,,,,,0.5571586407,0.5571586407,,,,,0.4151162853,0.4151162853,,,,,0.5065296824,0.5065296824,,,,,2999,Q59976_STRSQ,medium,Prokaryote
R1AB_SARS2_Flynn_2022_growth,0.1744877549,0.1744877549,,,,,0.3304566314,0.3304566314,,,,,0.01263326053,0.01263326053,,,,,0.01042615379,0.01042615379,,,,,0.228194019,0.228194019,,,,,5725,R1AB_SARS2,medium,Virus
RASH_HUMAN_Bandaru_2017,0.3375970634,0.3375970634,,,,,0.4249425049,0.4249425049,,,,,0.4401932963,0.4401932963,,,,,0.4096917135,0.4096917135,,,,,0.497037155,0.497037155,,,,,3134,RASH_HUMAN,high,Human
REV_HV1H2_Fernandes_2016,0.1728101623,0.1728101623,,,,,0.1616313349,0.1616313349,,,,,0.1690838865,0.1690838865,,,,,0.178399576,0.178399576,,,,,0.1150528873,0.1150528873,,,,,2147,REV_HV1H2,medium,Virus
RL401_YEAST_Mavor_2016,0.2946772436,0.2946772436,,,,,0.2946772436,0.2946772436,,,,,0.2912370361,0.2912370361,,,,,0.2017916422,0.2017916422,,,,,0.3325195256,0.3325195256,,,,,1253,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2013,0.3116478996,0.3116478996,,,,,0.3046978993,0.3046978993,,,,,0.3324979004,0.3324979004,,,,,0.2212978959,0.2212978959,,,,,0.3602979015,0.3602979015,,,,,1195,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2014,0.2892553226,0.2892553226,,,,,0.3291526085,0.3291526085,,,,,0.2792810012,0.2792810012,,,,,0.1994864294,0.1994864294,,,,,0.2892553226,0.2892553226,,,,,1380,RL401_YEAST,medium,Eukaryote
SC6A4_HUMAN_Young_2021,0.3859709744,0.3859709744,,,,,0.4319281272,0.4319281272,,,,,0.4706288874,0.4706288874,,,,,0.4671734623,0.4671734623,,,,,0.4702833449,0.4702833449,,,,,11576,SC6A4_HUMAN,medium,Human
SCN5A_HUMAN_Glazer_2019,0.08928571429,0.08928571429,,,,,-0.01785714286,-0.01785714286,,,,,0.05357142857,0.05357142857,,,,,0.1071428571,0.1071428571,,,,,0.05357142857,0.05357142857,,,,,224,SCN5A_HUMAN,medium,Human
SPG1_STRSG_Olson_2014,0.1984560359,0.2528496911,0.1979679877,,,,0.203428836,0,0.2030295407,,,,0.08654924562,0.0672407159,0.08630573836,,,,0.1746318148,0.01015621866,0.1741986142,,,,0.202072481,0,0.2016709044,,,,537453,SPG1_STRSG,low,Prokaryote
SPIKE_SARS2_Starr_2020_bind,0.2617359694,0.2617359694,,,,,0.2140512787,0.2140512787,,,,,0.2871678045,0.2871678045,,,,,-0.07523584547,-0.07523584547,,,,,0.2553780107,0.2553780107,,,,,3802,SPIKE_SARS2,medium,Virus
SPIKE_SARS2_Starr_2020_expr,0.2742322792,0.2742322792,,,,,0.2731714193,0.2731714193,,,,,0.3930485859,0.3930485859,,,,,-0.03235622637,-0.03235622637,,,,,0.2710496996,0.2710496996,,,,,3798,SPIKE_SARS2,medium,Virus
SRC_HUMAN_Ahler_2019_CD,0.2949816804,0.2949816804,,,,,0.4320947003,0.4320947003,,,,,0.224538294,0.224538294,,,,,0.5151172628,0.5151172628,,,,,0.4497055469,0.4497055469,,,,,3372,SRC_HUMAN,medium,Human
SUMO1_HUMAN_Weile_2017,0.2517746536,0.2517746536,,,,,0.3219810474,0.3219810474,,,,,0.3849247108,0.3849247108,,,,,0.4018710817,0.4018710817,,,,,0.4478683742,0.4478683742,,,,,1700,SUMO1_HUMAN,high,Human
SYUA_HUMAN_Newberry_2020,0.284130735,0.284130735,,,,,0.2286863151,0.2286863151,,,,,0.1828012779,0.1828012779,,,,,0.3319276488,0.3319276488,,,,,0.3319276488,0.3319276488,,,,,2497,SYUA_HUMAN,medium,Human
TADBP_HUMAN_Bolognesi_2019,0.08361204013,0.08361204013,,,,,0.08695652174,0.08695652174,,,,,0.06688963211,0.06688963211,,,,,0.03010033445,0.03010033445,,,,,-0.04682274247,-0.04682274247,,,,,1196,TADBP_HUMAN,low,Human
TAT_HV1BR_Fernandes_2016,0.2266438959,0.2266438959,,,,,0.2293693397,0.2293693397,,,,,0.2620746651,0.2620746651,,,,,0.3383870912,0.3383870912,,,,,0.1857622391,0.1857622391,,,,,1577,TAT_HV1BR,high,Virus
TPK1_HUMAN_Weile_2017,0.2339059015,0.2339059015,,,,,0.2416254454,0.2416254454,,,,,0.1940215913,0.1940215913,,,,,0.2146070418,0.2146070418,,,,,0.19144841,0.19144841,,,,,3181,TPK1_HUMAN,medium,Human
TPMT_HUMAN_Matreyek_2018,0.2897250108,0.2897250108,,,,,0.3313123329,0.3313123329,,,,,0.3063599396,0.3063599396,,,,,0.3299260889,0.3299260889,,,,,0.3410160414,0.3410160414,,,,,3648,TPMT_HUMAN,medium,Human
TPOR_HUMAN_Bridgford_2020_S505N,0.3327867953,0.3327867953,,,,,0.3669187743,0.3669187743,,,,,0.34131979,0.34131979,,,,,0.2645228373,0.2645228373,,,,,0.2133248688,0.2133248688,,,,,562,TPOR_HUMAN,low,Human
TRPC_SACS2_Chan_2017,0.5082219362,0.5082219362,,,,,0.5270647266,0.5270647266,,,,,0.5512911713,0.5512911713,,,,,0.5432156897,0.5432156897,,,,,0.4624608739,0.4624608739,,,,,1519,TRPC_SACS2,medium,Prokaryote
TRPC_THEMA_Chan_2017,0.3654400084,0.3654400084,,,,,0.3625131896,0.3625131896,,,,,0.3742204647,0.3742204647,,,,,0.394708196,0.394708196,,,,,0.3537327333,0.3537327333,,,,,1519,TRPC_THEMA,medium,Prokaryote
UBC9_HUMAN_Weile_2017,0.3554427423,0.3554427423,,,,,0.3944595255,0.3944595255,,,,,0.4365976513,0.4365976513,,,,,0.3960201968,0.3960201968,,,,,0.4771751057,0.4771751057,,,,,2563,UBC9_HUMAN,medium,Human
UBE4B_MOUSE_Starita_2013,0.203118568,0.203118568,,,,,0.3059461235,0.3059461235,,,,,0.318043483,0.318043483,,,,,0.3301408424,0.3301408424,,,,,0.318043483,0.318043483,,,,,899,UBE4B_MOUSE,low,Eukaryote
VKOR1_HUMAN_Chiasson_2020_abundance,0.4018552052,0.4018552052,,,,,0.4523190341,0.4523190341,,,,,0.4152132776,0.4152132776,,,,,0.3751390605,0.3751390605,,,,,0.3929498237,0.3929498237,,,,,2695,VKOR1_HUMAN,medium,Human
VKOR1_HUMAN_Chiasson_2020_activity,0.3290112943,0.3290112943,,,,,0.3826717344,0.3826717344,,,,,0.3707471922,0.3707471922,,,,,0.3826717344,0.3826717344,,,,,0.3707471922,0.3707471922,,,,,697,VKOR1_HUMAN,medium,Human
YAP1_HUMAN_Araya_2012,0.1507692224,0.2311782034,0.1464127968,,,,0.273052102,0.2236218083,0.2737181161,,,,0.09121587194,0,0.0889158571,,,,0.2079404388,0.1955468891,0.2075972238,,,,0.1487841107,0.1855600235,0.1464059486,,,,10075,YAP1_HUMAN,low,Human
Average,0.3191270976,0.2977521936,0.258765271,0.2953249685,0.2954367441,0.3342555425,0.3592443533,0.3368580517,0.3113830233,0.3448974853,0.3247859462,0.3388711913,0.3429551523,0.3206443095,0.2383535194,0.2948032318,0.2442459379,0.2400667892,0.3068825169,0.2934140112,0.2369317751,0.1696528312,0.1284718464,0.1735843727,0.3173565643,0.2950362095,0.2376959452,0.1958617488,0.208318112,0.1693952285,-,-,-,-
