DMS_id,EVE_score,EVE_score_1,EVE_score_2,EVE_score_3,EVE_score_4,EVE_score_5+,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,Deepsequence_score,Deepsequence_score_1,Deepsequence_score_2,Deepsequence_score_3,Deepsequence_score_4,Deepsequence_score_5+,Epistatic_score,Epistatic_score_1,Epistatic_score_2,Epistatic_score_3,Epistatic_score_4,Epistatic_score_5+,Independent_score,Independent_score_1,Independent_score_2,Independent_score_3,Independent_score_4,Independent_score_5+,Ensemble_EVE,Ensemble_EVE_1,Ensemble_EVE_2,Ensemble_EVE_3,Ensemble_EVE_4,Ensemble_EVE_5+,Ensemble_ESM1v,Ensemble_ESM1v_1,Ensemble_ESM1v_2,Ensemble_ESM1v_3,Ensemble_ESM1v_4,Ensemble_ESM1v_5+,Ensemble_MSA_transformer,Ensemble_MSA_transformer_1,Ensemble_MSA_transformer_2,Ensemble_MSA_transformer_3,Ensemble_MSA_transformer_4,Ensemble_MSA_transformer_5+,Ensemble_tranception_no_retrieval_EVE,Ensemble_tranception_no_retrieval_EVE_1,Ensemble_tranception_no_retrieval_EVE_2,Ensemble_tranception_no_retrieval_EVE_3,Ensemble_tranception_no_retrieval_EVE_4,Ensemble_tranception_no_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE,Ensemble_tranception_retrieval_EVE_1,Ensemble_tranception_retrieval_EVE_2,Ensemble_tranception_retrieval_EVE_3,Ensemble_tranception_retrieval_EVE_4,Ensemble_tranception_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE_ensemble,Ensemble_tranception_retrieval_EVE_ensemble_1,Ensemble_tranception_retrieval_EVE_ensemble_2,Ensemble_tranception_retrieval_EVE_ensemble_3,Ensemble_tranception_retrieval_EVE_ensemble_4,Ensemble_tranception_retrieval_EVE_ensemble_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
AMIE_PSEAE_Wrenbeck_2017,0.558,0.558,,,,,0.501,0.501,,,,,0.585,0.585,,,,,0.611,0.611,,,,,0.606,0.606,,,,,0.509,0.509,,,,,0.547,0.547,,,,,0.535,0.535,,,,,0.383,0.383,,,,,0.566,0.566,,,,,0.657,0.657,,,,,0.609,0.609,,,,,0.608,0.608,,,,,0.611,0.611,,,,,0.614,0.614,,,,,4581,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.436,0.436,,,,,0.491,0.491,,,,,0.468,0.468,,,,,0.535,0.535,,,,,0.483,0.483,,,,,0.458,0.458,,,,,0.438,0.438,,,,,0.447,0.447,,,,,0.333,0.333,,,,,0.439,0.439,,,,,0.515,0.515,,,,,0.508,0.508,,,,,0.483,0.483,,,,,0.470,0.470,,,,,0.471,0.471,,,,,6433,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.506,0.506,,,,,0.381,0.381,,,,,0.480,0.480,,,,,0.557,0.557,,,,,0.532,0.532,,,,,0.497,0.497,,,,,0.540,0.540,,,,,0.516,0.516,,,,,0.307,0.307,,,,,0.535,0.535,,,,,0.560,0.560,,,,,0.563,0.563,,,,,0.520,0.520,,,,,0.528,0.528,,,,,0.543,0.543,,,,,4085,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.741,0.741,,,,,0.521,0.521,,,,,0.678,0.678,,,,,0.737,0.737,,,,,0.685,0.685,,,,,0.702,0.702,,,,,0.763,0.763,,,,,0.732,0.732,,,,,0.486,0.486,,,,,0.767,0.767,,,,,0.741,0.741,,,,,0.745,0.745,,,,,0.739,0.739,,,,,0.757,0.757,,,,,0.768,0.768,,,,,3920,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.742,0.742,,,,,0.539,0.539,,,,,0.683,0.683,,,,,0.704,0.704,,,,,0.677,0.677,,,,,0.672,0.672,,,,,0.736,0.736,,,,,0.706,0.706,,,,,0.470,0.470,,,,,0.753,0.753,,,,,0.718,0.718,,,,,0.711,0.711,,,,,0.747,0.747,,,,,0.756,0.756,,,,,0.757,0.757,,,,,802,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.740,0.740,,,,,0.518,0.518,,,,,0.667,0.667,,,,,0.726,0.726,,,,,0.690,0.690,,,,,0.695,0.695,,,,,0.758,0.758,,,,,0.727,0.727,,,,,0.479,0.479,,,,,0.762,0.762,,,,,0.741,0.741,,,,,0.737,0.737,,,,,0.736,0.736,,,,,0.751,0.751,,,,,0.760,0.760,,,,,4085,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.322,0.322,,,,,0.538,0.538,,,,,0.574,0.574,,,,,0.402,0.402,,,,,0.442,0.442,,,,,0.323,0.323,,,,,0.265,0.265,,,,,0.352,0.352,,,,,0.466,0.466,,,,,0.316,0.316,,,,,0.446,0.446,,,,,0.450,0.450,,,,,0.506,0.506,,,,,0.515,0.515,,,,,0.518,0.518,,,,,575,BRCA1_HUMAN,low,Human
C6KNH7_9INFA_Lee_2018,0.435,0.435,,,,,0.401,0.401,,,,,0.445,0.445,,,,,0.408,0.408,,,,,0.420,0.420,,,,,0.352,0.352,,,,,0.362,0.362,,,,,0.379,0.379,,,,,0.409,0.409,,,,,0.438,0.438,,,,,0.484,0.484,,,,,0.408,0.408,,,,,0.463,0.463,,,,,0.459,0.459,,,,,0.461,0.461,,,,,10507,C6KNH7_9INFA,medium,Virus
CALM1_HUMAN_Weile_2017,0.244,0.244,,,,,0.306,0.306,,,,,0.283,0.283,,,,,0.254,0.254,,,,,0.246,0.246,,,,,0.239,0.239,,,,,0.238,0.238,,,,,0.243,0.243,,,,,0.192,0.192,,,,,0.242,0.242,,,,,0.275,0.275,,,,,0.269,0.269,,,,,0.287,0.287,,,,,0.276,0.276,,,,,0.274,0.274,,,,,1660,CALM1_HUMAN,high,Human
CAPSD_AAV2S_Sinai_2021_substitutions,0.346,0.599,0.612,0.480,0.522,0.637,0.492,0.481,0.537,0.425,0.427,0.604,0.473,0.517,0.559,0.446,0.483,0.650,0.350,0.522,0.509,0.398,0.457,0.615,0.196,0.161,0.109,0.105,0.137,0.277,0.258,0.291,0.350,0.302,0.368,0.587,0.362,0.480,0.564,0.464,0.480,0.623,0.336,0.580,0.589,0.447,0.499,0.629,0.412,0.522,0.498,0.382,0.456,0.634,0.330,0.610,0.621,0.481,0.522,0.630,0.199,0.176,0.117,0.103,0.138,0.278,0.368,0.562,0.551,0.418,0.477,0.629,0.458,0.530,0.593,0.478,0.495,0.660,0.435,0.553,0.604,0.486,0.524,0.666,0.427,0.549,0.602,0.484,0.520,0.664,42329,CAPSD_AAV2S,low,Virus
CCDB_ECOLI_Adkar_2012,0.488,0.488,,,,,0.237,0.237,,,,,0.410,0.410,,,,,0.470,0.470,,,,,0.385,0.385,,,,,0.465,0.465,,,,,0.453,0.453,,,,,0.422,0.422,,,,,0.287,0.287,,,,,0.488,0.488,,,,,0.461,0.461,,,,,0.485,0.485,,,,,0.431,0.431,,,,,0.464,0.464,,,,,0.462,0.462,,,,,1005,CCDB_ECOLI,high,Prokaryote
CCDB_ECOLI_Tripathi_2016,0.492,0.492,,,,,0.382,0.382,,,,,0.501,0.501,,,,,0.507,0.507,,,,,0.468,0.468,,,,,0.524,0.524,,,,,0.493,0.493,,,,,0.466,0.466,,,,,0.405,0.405,,,,,0.497,0.497,,,,,0.508,0.508,,,,,0.523,0.523,,,,,0.485,0.485,,,,,0.511,0.511,,,,,0.511,0.511,,,,,1423,CCDB_ECOLI,high,Prokaryote
CP2C9_HUMAN_Amorosi_2021_abundance,0.607,0.607,,,,,0.576,0.576,,,,,0.628,0.628,,,,,0.583,0.583,,,,,0.592,0.592,,,,,0.622,0.622,,,,,0.595,0.595,,,,,0.594,0.594,,,,,0.519,0.519,,,,,0.620,0.620,,,,,0.627,0.627,,,,,0.596,0.596,,,,,0.634,0.634,,,,,0.643,0.643,,,,,0.646,0.646,,,,,5591,CP2C9_HUMAN,high,Human
CP2C9_HUMAN_Amorosi_2021_activity,0.640,0.640,,,,,0.610,0.610,,,,,0.673,0.673,,,,,0.609,0.609,,,,,0.653,0.653,,,,,0.666,0.666,,,,,0.638,0.638,,,,,0.622,0.622,,,,,0.564,0.564,,,,,0.655,0.655,,,,,0.680,0.680,,,,,0.628,0.628,,,,,0.667,0.667,,,,,0.680,0.680,,,,,0.686,0.686,,,,,5431,CP2C9_HUMAN,high,Human
DLG4_HUMAN_Faure_2021,0.594,0.477,0.620,,,,0.576,0.464,0.597,,,,0.662,0.607,0.685,,,,0.595,0.497,0.602,,,,0.544,0.402,0.550,,,,0.645,0.527,0.661,,,,0.562,0.410,0.567,,,,0.574,0.529,0.606,,,,0.662,0.604,0.658,,,,0.621,0.523,0.645,,,,0.603,0.428,0.624,,,,0.608,0.488,0.629,,,,0.621,0.556,0.662,,,,0.641,0.588,0.676,,,,0.653,0.607,0.685,,,,6726,DLG4_HUMAN,low,Human
DLG4_RAT_McLaughlin_2012,0.523,0.523,,,,,0.304,0.304,,,,,0.446,0.446,,,,,0.507,0.507,,,,,0.565,0.565,,,,,0.436,0.436,,,,,0.509,0.509,,,,,0.506,0.506,,,,,0.494,0.494,,,,,0.541,0.541,,,,,0.597,0.597,,,,,0.509,0.509,,,,,0.486,0.486,,,,,0.508,0.508,,,,,0.521,0.521,,,,,1501,DLG4_RAT,low,Eukaryote
DYR_ECOLI_Thompson_2019_plusLon,0.468,0.468,,,,,0.348,0.348,,,,,0.424,0.424,,,,,0.488,0.488,,,,,0.420,0.420,,,,,0.488,0.488,,,,,0.469,0.469,,,,,0.494,0.494,,,,,0.397,0.397,,,,,0.470,0.470,,,,,0.439,0.439,,,,,0.490,0.490,,,,,0.465,0.465,,,,,0.471,0.471,,,,,0.473,0.473,,,,,2327,DYR_ECOLI,medium,Prokaryote
ENV_HV1B9_DuenasDecamp_2016,0.388,0.388,,,,,0.404,0.404,,,,,0.407,0.407,,,,,0.380,0.380,,,,,0.415,0.415,,,,,0.388,0.388,,,,,0.379,0.379,,,,,0.420,0.420,,,,,0.364,0.364,,,,,0.377,0.377,,,,,0.389,0.389,,,,,0.375,0.375,,,,,0.407,0.407,,,,,0.407,0.407,,,,,0.398,0.398,,,,,375,ENV_HV1B9,medium,Virus
ENV_HV1BR_Haddox_2016,0.341,0.341,,,,,0.358,0.358,,,,,0.363,0.363,,,,,0.345,0.345,,,,,0.322,0.322,,,,,0.336,0.336,,,,,0.310,0.310,,,,,0.300,0.300,,,,,0.337,0.337,,,,,0.344,0.344,,,,,0.338,0.338,,,,,0.347,0.347,,,,,0.371,0.371,,,,,0.364,0.364,,,,,0.366,0.366,,,,,12563,ENV_HV1BR,medium,Virus
ESTA_BACSU_Nutschel_2020,0.375,0.375,,,,,0.263,0.263,,,,,0.325,0.325,,,,,0.428,0.428,,,,,0.304,0.304,,,,,0.322,0.322,,,,,0.434,0.434,,,,,0.394,0.394,,,,,0.263,0.263,,,,,0.399,0.399,,,,,0.332,0.332,,,,,0.428,0.428,,,,,0.371,0.371,,,,,0.382,0.382,,,,,0.397,0.397,,,,,2030,ESTA_BACSU,high,Prokaryote
F7YBW8_MESOW_Aakre_2015,0.411,0.294,0.423,0.361,0.113,,0.434,0.512,0.782,0.549,0.090,,0.425,0.547,0.673,0.495,0.104,,0.375,0.537,0.451,0.399,0.112,,0.382,0.547,0.389,0.396,0.122,,0.391,0.558,0.507,0.451,0.101,,0.411,0.381,0.652,0.462,0.059,,0.370,0.289,0.501,0.384,0.053,,0.057,0.078,-0.176,-0.009,0.093,,0.410,0.306,0.412,0.363,0.106,,0.394,0.430,0.388,0.403,0.131,,0.414,0.429,0.417,0.431,0.123,,0.447,0.507,0.723,0.522,0.121,,0.436,0.512,0.639,0.476,0.118,,0.435,0.503,0.632,0.477,0.113,,9174,F7YBW8_MESOW,high,Prokaryote
GAL4_YEAST_Kitzman_2015,0.511,0.511,,,,,0.326,0.326,,,,,0.526,0.526,,,,,0.583,0.583,,,,,0.441,0.441,,,,,0.494,0.494,,,,,0.538,0.538,,,,,0.509,0.509,,,,,0.375,0.375,,,,,0.548,0.548,,,,,0.447,0.447,,,,,0.562,0.562,,,,,0.497,0.497,,,,,0.534,0.534,,,,,0.551,0.551,,,,,1051,GAL4_YEAST,medium,Eukaryote
GCN4_YEAST_Staller_2018_induction,0.252,0.570,-0.085,0.249,0.123,0.183,0.384,0.504,0.196,0.378,0.252,0.405,0.356,0.605,-0.026,0.364,0.204,0.360,0.288,0.632,0.060,0.309,0.126,0.249,0.288,0.502,-0.003,0.124,0.194,0.273,0.285,0.372,0.126,0.250,0.188,0.246,0.243,0.592,0.004,0.139,0.074,0.210,0.276,0.593,-0.092,0.300,0.153,0.233,0.284,0.565,-0.130,0.286,0.165,0.235,0.255,0.568,-0.088,0.248,0.123,0.188,0.307,0.494,0.001,0.107,0.228,0.295,0.294,0.636,0.106,0.324,0.153,0.262,0.351,0.666,0.069,0.342,0.226,0.359,0.330,0.675,-0.026,0.335,0.194,0.320,0.331,0.663,-0.045,0.333,0.193,0.321,1053,GCN4_YEAST,low,Eukaryote
GFP_AEQVI_Sarkisyan_2016,0.679,0.484,0.402,0.491,0.553,0.387,0.631,0.321,0.300,0.382,0.427,0.319,0.677,0.427,0.394,0.494,0.542,0.370,0.652,0.434,0.385,0.478,0.529,0.359,0.099,0.047,0.011,0.010,0.002,0.030,0.603,0.342,0.253,0.323,0.378,0.305,0.674,0.473,0.391,0.483,0.544,0.382,0.644,0.450,0.353,0.434,0.489,0.355,0.658,0.447,0.361,0.446,0.503,0.363,0.678,0.485,0.400,0.489,0.552,0.387,0.103,0.047,0.006,0.001,-0.009,0.028,0.661,0.461,0.398,0.495,0.552,0.370,0.705,0.521,0.458,0.561,0.616,0.406,0.707,0.537,0.465,0.567,0.622,0.409,0.707,0.537,0.464,0.566,0.622,0.409,48211,GFP_AEQVI,low,Eukaryote
GRB2_HUMAN_Faure_2021,0.566,0.637,0.541,,,,0.429,0.485,0.397,,,,0.489,0.568,0.460,,,,0.468,0.558,0.437,,,,0.484,0.586,0.454,,,,0.480,0.602,0.450,,,,0.470,0.538,0.445,,,,0.545,0.606,0.518,,,,0.480,0.566,0.459,,,,0.568,0.639,0.544,,,,0.512,0.602,0.483,,,,0.474,0.572,0.442,,,,0.558,0.636,0.532,,,,0.563,0.642,0.537,,,,0.563,0.642,0.537,,,,14681,GRB2_HUMAN,medium,Human
HIS7_YEAST_Pokusaeva_2019,0.476,0.088,0.172,0.295,0.357,0.471,0.585,0.085,0.232,0.390,0.478,0.586,0.616,0.077,0.253,0.416,0.506,0.617,0.508,0.062,0.242,0.364,0.410,0.500,0.411,0.091,0.201,0.315,0.345,0.401,0.454,0.088,0.191,0.318,0.371,0.447,0.466,0.095,0.195,0.312,0.363,0.458,0.519,0.056,0.203,0.331,0.400,0.517,0.459,0.062,0.214,0.323,0.379,0.451,0.481,0.093,0.179,0.302,0.365,0.476,0.477,0.074,0.207,0.331,0.378,0.470,0.506,0.070,0.226,0.356,0.403,0.499,0.583,0.095,0.224,0.384,0.473,0.583,0.581,0.084,0.228,0.385,0.470,0.580,0.584,0.085,0.231,0.388,0.474,0.582,496102,HIS7_YEAST,medium,Eukaryote
HSP82_YEAST_Flynn_2019,0.400,0.400,,,,,0.368,0.368,,,,,0.392,0.392,,,,,0.407,0.407,,,,,0.432,0.432,,,,,0.395,0.395,,,,,0.417,0.417,,,,,0.380,0.380,,,,,0.348,0.348,,,,,0.402,0.402,,,,,0.456,0.456,,,,,0.409,0.409,,,,,0.412,0.412,,,,,0.411,0.411,,,,,0.412,0.412,,,,,11425,HSP82_YEAST,medium,Eukaryote
HSP82_YEAST_Mishra_2016,0.537,0.537,,,,,0.503,0.503,,,,,0.530,0.530,,,,,0.482,0.482,,,,,0.568,0.568,,,,,0.487,0.487,,,,,0.544,0.544,,,,,0.485,0.485,,,,,0.508,0.508,,,,,0.544,0.544,,,,,0.575,0.575,,,,,0.480,0.480,,,,,0.549,0.549,,,,,0.549,0.549,,,,,0.553,0.553,,,,,3990,HSP82_YEAST,medium,Eukaryote
I6TAH8_I68A0_Doud_2015,0.364,0.364,,,,,0.337,0.337,,,,,0.348,0.348,,,,,0.303,0.303,,,,,0.018,0.018,,,,,0.212,0.212,,,,,0.286,0.286,,,,,0.317,0.317,,,,,0.347,0.347,,,,,0.361,0.361,,,,,0.014,0.014,,,,,0.324,0.324,,,,,0.409,0.409,,,,,0.401,0.401,,,,,0.399,0.399,,,,,9462,I6TAH8_I68A0,medium,Virus
IF1_ECOLI_Kelsic_2016,0.525,0.525,,,,,0.548,0.548,,,,,0.509,0.509,,,,,0.227,0.227,,,,,0.538,0.538,,,,,0.535,0.535,,,,,0.546,0.546,,,,,0.463,0.463,,,,,0.342,0.342,,,,,0.539,0.539,,,,,0.573,0.573,,,,,0.245,0.245,,,,,0.568,0.568,,,,,0.546,0.546,,,,,0.553,0.553,,,,,1102,IF1_ECOLI,high,Prokaryote
KCNH2_HUMAN_Kozek_2020,0.229,0.229,,,,,0.484,0.484,,,,,0.513,0.513,,,,,0.368,0.368,,,,,0.233,0.233,,,,,0.395,0.395,,,,,0.182,0.182,,,,,0.412,0.412,,,,,0.444,0.444,,,,,0.230,0.230,,,,,0.254,0.254,,,,,0.334,0.334,,,,,0.449,0.449,,,,,0.453,0.453,,,,,0.453,0.453,,,,,191,KCNH2_HUMAN,medium,Human
KKA2_KLEPN_Melnikov_2014,0.597,0.597,,,,,0.584,0.584,,,,,0.584,0.584,,,,,0.576,0.576,,,,,0.614,0.614,,,,,0.498,0.498,,,,,0.605,0.605,,,,,0.566,0.566,,,,,0.282,0.282,,,,,0.617,0.617,,,,,0.636,0.636,,,,,0.593,0.593,,,,,0.628,0.628,,,,,0.617,0.617,,,,,0.626,0.626,,,,,3958,KKA2_KLEPN,high,Prokaryote
MK01_HUMAN_Brenan_2016,0.251,0.251,,,,,0.034,0.034,,,,,0.139,0.139,,,,,0.153,0.153,,,,,0.183,0.183,,,,,0.206,0.206,,,,,0.243,0.243,,,,,0.235,0.235,,,,,0.240,0.240,,,,,0.250,0.250,,,,,0.200,0.200,,,,,0.155,0.155,,,,,0.165,0.165,,,,,0.197,0.197,,,,,0.196,0.196,,,,,5501,MK01_HUMAN,medium,Human
MSH2_HUMAN_Jia_2020,0.405,0.405,,,,,0.292,0.292,,,,,0.360,0.360,,,,,0.410,0.410,,,,,0.398,0.398,,,,,0.385,0.385,,,,,0.396,0.396,,,,,0.424,0.424,,,,,0.371,0.371,,,,,0.404,0.404,,,,,0.419,0.419,,,,,0.417,0.417,,,,,0.399,0.399,,,,,0.407,0.407,,,,,0.406,0.406,,,,,15110,MSH2_HUMAN,medium,Human
MTH3_HAEAE_Rockah-Shmuel_2015,0.710,0.710,,,,,0.673,0.673,,,,,0.655,0.655,,,,,0.687,0.687,,,,,0.701,0.701,,,,,0.680,0.680,,,,,0.714,0.714,,,,,0.687,0.687,,,,,0.469,0.469,,,,,0.714,0.714,,,,,0.722,0.722,,,,,0.692,0.692,,,,,0.725,0.725,,,,,0.716,0.716,,,,,0.718,0.718,,,,,1581,MTH3_HAEAE,medium,Prokaryote
NCAP_I34A1_Doud_2015,0.363,0.363,,,,,0.415,0.415,,,,,0.424,0.424,,,,,0.338,0.338,,,,,0.019,0.019,,,,,0.269,0.269,,,,,0.316,0.316,,,,,0.328,0.328,,,,,0.364,0.364,,,,,0.364,0.364,,,,,0.020,0.020,,,,,0.358,0.358,,,,,0.454,0.454,,,,,0.447,0.447,,,,,0.445,0.445,,,,,9462,NCAP_I34A1,medium,Virus
